Words_t1,ans_t1,key_resp_t1.corr,key_resp_t1.rt,Words_t2,ans_t2,key_resp_t2.corr,key_resp_t2.rt,Subject,Category_t1,Category_t2
他的,i,1,0.588,NA,NA,NA,NA,33,他人,NA
聪明,e,1,0.6546,NA,NA,NA,NA,33,积极,NA
我,e,1,0.6039,NA,NA,NA,NA,33,自我,NA
其他,i,1,0.6504,NA,NA,NA,NA,33,他人,NA
他,i,1,0.7526,NA,NA,NA,NA,33,他人,NA
他,i,1,0.736,NA,NA,NA,NA,33,他人,NA
我的,e,1,0.6581,NA,NA,NA,NA,33,自我,NA
轻率,i,1,0.7158,NA,NA,NA,NA,33,消极,NA
他人,i,1,0.5725,NA,NA,NA,NA,33,他人,NA
乐观,e,1,1.2421,NA,NA,NA,NA,33,积极,NA
俺,e,1,0.6809,NA,NA,NA,NA,33,自我,NA
优秀,e,1,1.0078,NA,NA,NA,NA,33,积极,NA
野蛮,i,1,0.5329,NA,NA,NA,NA,33,消极,NA
我们,e,1,0.5564,NA,NA,NA,NA,33,自我,NA
勇敢,e,1,0.6016,NA,NA,NA,NA,33,积极,NA
公正,e,1,0.7161,NA,NA,NA,NA,33,积极,NA
俺,e,1,0.6347,NA,NA,NA,NA,33,自我,NA
我的,e,1,0.4579,NA,NA,NA,NA,33,自我,NA
他人,i,1,0.6343,NA,NA,NA,NA,33,他人,NA
聪明,e,1,0.5662,NA,NA,NA,NA,33,积极,NA
机智,e,1,0.7226,NA,NA,NA,NA,33,积极,NA
他,i,1,0.6888,NA,NA,NA,NA,33,他人,NA
杰出,e,1,0.6216,NA,NA,NA,NA,33,积极,NA
悲观,i,1,0.5812,NA,NA,NA,NA,33,消极,NA
鲁莽,i,1,0.5973,NA,NA,NA,NA,33,消极,NA
勤奋,e,1,0.6422,NA,NA,NA,NA,33,积极,NA
自己,e,1,0.5816,NA,NA,NA,NA,33,自我,NA
正直,e,1,0.6313,NA,NA,NA,NA,33,积极,NA
他,i,0,0.4668,NA,NA,NA,NA,33,他人,NA
我的,e,1,0.6145,NA,NA,NA,NA,33,自我,NA
散漫,i,1,0.5355,NA,NA,NA,NA,33,消极,NA
愚蠢,i,1,0.6312,NA,NA,NA,NA,33,消极,NA
暴躁,i,1,0.5876,NA,NA,NA,NA,33,消极,NA
虚伪,i,1,0.4623,NA,NA,NA,NA,33,消极,NA
凶狠,i,1,0.5998,NA,NA,NA,NA,33,消极,NA
热情,e,1,0.7606,NA,NA,NA,NA,33,积极,NA
傲慢,i,1,0.6359,NA,NA,NA,NA,33,消极,NA
自己,e,1,0.6212,NA,NA,NA,NA,33,自我,NA
认真,e,1,0.5475,NA,NA,NA,NA,33,积极,NA
其他,i,1,0.5653,NA,NA,NA,NA,33,他人,NA
猖狂,i,1,0.688,NA,NA,NA,NA,33,消极,NA
冷静,e,1,0.6324,NA,NA,NA,NA,33,积极,NA
其他,i,1,0.6334,NA,NA,NA,NA,33,他人,NA
俺,e,1,0.6425,NA,NA,NA,NA,33,自我,NA
无私,e,1,1.3411,NA,NA,NA,NA,33,积极,NA
我的,e,1,0.5934,NA,NA,NA,NA,33,自我,NA
他,i,1,0.6675,NA,NA,NA,NA,33,他人,NA
自卑,i,0,0.6824,NA,NA,NA,NA,33,消极,NA
冒失,i,0,NA,NA,NA,NA,NA,33,消极,NA
他们,i,1,1.3097,NA,NA,NA,NA,33,他人,NA
他人,i,1,0.6833,NA,NA,NA,NA,33,他人,NA
细腻,e,1,0.6004,NA,NA,NA,NA,33,积极,NA
我们,e,1,0.5576,NA,NA,NA,NA,33,自我,NA
稳重,e,1,0.7056,NA,NA,NA,NA,33,积极,NA
我,e,1,0.4504,NA,NA,NA,NA,33,自我,NA
其他,i,1,0.5317,NA,NA,NA,NA,33,他人,NA
他的,i,1,0.6498,NA,NA,NA,NA,33,他人,NA
诚恳,e,1,0.6727,NA,NA,NA,NA,33,积极,NA
我们,e,1,0.7343,NA,NA,NA,NA,33,自我,NA
卑鄙,i,1,0.5865,NA,NA,NA,NA,33,消极,NA
自己,e,1,0.5277,NA,NA,NA,NA,33,自我,NA
我,e,1,0.5404,NA,NA,NA,NA,33,自我,NA
他人,i,1,0.4984,NA,NA,NA,NA,33,他人,NA
刻薄,i,1,0.7009,NA,NA,NA,NA,33,消极,NA
崇高,e,1,0.9831,NA,NA,NA,NA,33,积极,NA
他的,i,1,0.6462,NA,NA,NA,NA,33,他人,NA
消极,i,1,1.0711,NA,NA,NA,NA,33,消极,NA
他,i,1,0.6832,NA,NA,NA,NA,33,他人,NA
下贱,i,1,0.5657,NA,NA,NA,NA,33,消极,NA
他的,i,1,0.6338,NA,NA,NA,NA,33,他人,NA
我,e,0,NA,NA,NA,NA,NA,33,自我,NA
俺,e,1,1.0989,NA,NA,NA,NA,33,自我,NA
诚实,e,1,1.0152,NA,NA,NA,NA,33,积极,NA
我,e,1,0.6792,NA,NA,NA,NA,33,自我,NA
活泼,e,1,0.5675,NA,NA,NA,NA,33,积极,NA
朴实,e,1,0.716,NA,NA,NA,NA,33,积极,NA
自私,i,0,1.099,NA,NA,NA,NA,33,消极,NA
他们,i,1,0.7324,NA,NA,NA,NA,33,他人,NA
他的,i,1,0.4286,NA,NA,NA,NA,33,他人,NA
其他,i,1,0.6177,NA,NA,NA,NA,33,他人,NA
他们,i,1,0.4871,NA,NA,NA,NA,33,他人,NA
执拗,i,1,0.6558,NA,NA,NA,NA,33,消极,NA
我们,e,1,0.732,NA,NA,NA,NA,33,自我,NA
他们,i,1,0.5758,NA,NA,NA,NA,33,他人,NA
自己,e,1,1.0542,NA,NA,NA,NA,33,自我,NA
固执,i,1,0.5028,NA,NA,NA,NA,33,消极,NA
NA,NA,NA,NA,他,e,1,0.8996,33,NA,他人
NA,NA,NA,NA,他的,e,1,0.7019,33,NA,他人
NA,NA,NA,NA,稳重,e,1,0.542,33,NA,积极
NA,NA,NA,NA,机智,e,1,0.4839,33,NA,积极
NA,NA,NA,NA,优秀,e,1,0.7046,33,NA,积极
NA,NA,NA,NA,朴实,e,1,0.5069,33,NA,积极
NA,NA,NA,NA,我,i,1,0.6259,33,NA,自我
NA,NA,NA,NA,细腻,e,0,0.8166,33,NA,积极
NA,NA,NA,NA,虚伪,i,1,0.6532,33,NA,消极
NA,NA,NA,NA,热情,e,1,0.6832,33,NA,积极
NA,NA,NA,NA,固执,i,1,0.7736,33,NA,消极
NA,NA,NA,NA,无私,e,1,1.4369,33,NA,积极
NA,NA,NA,NA,冷静,e,1,0.9333,33,NA,积极
NA,NA,NA,NA,我,i,1,1.0925,33,NA,自我
NA,NA,NA,NA,自卑,i,1,1.0538,33,NA,消极
NA,NA,NA,NA,俺,i,1,0.8235,33,NA,自我
NA,NA,NA,NA,俺,i,1,0.5666,33,NA,自我
NA,NA,NA,NA,刻薄,i,1,0.7021,33,NA,消极
NA,NA,NA,NA,他们,e,1,0.5692,33,NA,他人
NA,NA,NA,NA,活泼,e,1,0.767,33,NA,积极
NA,NA,NA,NA,崇高,e,1,0.6002,33,NA,积极
NA,NA,NA,NA,其他,e,1,0.7739,33,NA,他人
NA,NA,NA,NA,其他,e,1,0.4337,33,NA,他人
NA,NA,NA,NA,散漫,i,1,0.8208,33,NA,消极
NA,NA,NA,NA,我的,i,1,0.4941,33,NA,自我
NA,NA,NA,NA,自己,i,1,0.9118,33,NA,自我
NA,NA,NA,NA,自己,i,1,0.5665,33,NA,自我
NA,NA,NA,NA,凶狠,i,1,1.0057,33,NA,消极
NA,NA,NA,NA,自己,i,1,0.7335,33,NA,自我
NA,NA,NA,NA,他人,e,1,0.6999,33,NA,他人
NA,NA,NA,NA,乐观,e,0,NA,33,NA,积极
NA,NA,NA,NA,其他,e,0,0.65,33,NA,他人
NA,NA,NA,NA,轻率,i,1,0.8773,33,NA,消极
NA,NA,NA,NA,冒失,i,1,0.9764,33,NA,消极
NA,NA,NA,NA,其他,e,1,0.713,33,NA,他人
NA,NA,NA,NA,猖狂,i,1,0.7829,33,NA,消极
NA,NA,NA,NA,我们,i,1,0.8328,33,NA,自我
NA,NA,NA,NA,自私,i,0,1.1738,33,NA,消极
