"Words_t1","ans_t1","key_resp_t1.corr","key_resp_t1.rt","Words_t2","ans_t2","key_resp_t2.corr","key_resp_t2.rt","Subject"
"","",NA,NA,"自卑","i",1,0.5532,36
"","",NA,NA,"他","e",1,0.4771,36
"","",NA,NA,"悲观","i",1,0.6611,36
"","",NA,NA,"其他","e",1,0.5703,36
"","",NA,NA,"我","i",1,0.5611,36
"","",NA,NA,"我的","i",1,0.6874,36
"","",NA,NA,"散漫","i",1,0.5998,36
"","",NA,NA,"他","e",1,0.7611,36
"","",NA,NA,"他们","e",1,0.5669,36
"","",NA,NA,"他的","e",1,0.4995,36
"","",NA,NA,"优秀","e",1,0.5441,36
"","",NA,NA,"正直","e",1,0.467,36
"","",NA,NA,"热情","e",1,0.5325,36
"","",NA,NA,"固执","i",1,0.5104,36
"","",NA,NA,"自己","i",1,0.5503,36
"","",NA,NA,"其他","e",1,0.6148,36
"","",NA,NA,"野蛮","i",1,0.6104,36
"","",NA,NA,"杰出","e",1,0.4503,36
"","",NA,NA,"俺","i",1,0.6619,36
"","",NA,NA,"我的","i",1,0.6055,36
"","",NA,NA,"他的","e",1,0.5214,36
"","",NA,NA,"冷静","e",1,0.627,36
"","",NA,NA,"他","e",1,0.7004,36
"","",NA,NA,"我","i",1,0.4684,36
"","",NA,NA,"刻薄","i",1,0.5278,36
"","",NA,NA,"机智","e",1,0.5093,36
"","",NA,NA,"崇高","e",1,0.4989,36
"","",NA,NA,"我的","i",1,0.652,36
"","",NA,NA,"愚蠢","i",1,0.5336,36
"","",NA,NA,"消极","i",0,0.5426,36
"","",NA,NA,"认真","e",1,0.5337,36
"","",NA,NA,"我们","i",1,0.5335,36
"","",NA,NA,"俺","i",1,0.6295,36
"","",NA,NA,"自私","i",1,0.6172,36
"","",NA,NA,"他人","e",1,0.6139,36
"","",NA,NA,"我们","i",1,0.5667,36
"","",NA,NA,"猖狂","i",1,0.5604,36
"","",NA,NA,"我的","i",1,0.6042,36
"","",NA,NA,"暴躁","i",1,0.5938,36
"","",NA,NA,"虚伪","i",1,0.5167,36
"","",NA,NA,"执拗","i",1,0.5609,36
"","",NA,NA,"我","i",1,0.5943,36
"","",NA,NA,"下贱","i",1,0.4939,36
"","",NA,NA,"朴实","e",1,0.5886,36
"","",NA,NA,"诚恳","e",1,0.5272,36
"","",NA,NA,"稳重","e",1,0.4308,36
"","",NA,NA,"俺","i",1,0.6333,36
